code,name,p_code
513300000000,甘孜藏族自治州,51
513400000000,凉山彝族自治州,51
520100000000,贵阳市,52
520200000000,六盘水市,52
520300000000,遵义市,52
520400000000,安顺市,52
520500000000,毕节市,52
520600000000,铜仁市,52
522300000000,黔西南布依族苗族自治州,52
522600000000,黔东南苗族侗族自治州,52
522700000000,黔南布依族苗族自治州,52
530100000000,昆明市,53
530300000000,曲靖市,53
530400000000,玉溪市,53
530500000000,保山市,53
530600000000,昭通市,53
530700000000,丽江市,53
530800000000,普洱市,53
530900000000,临沧市,53
532300000000,楚雄彝族自治州,53
532500000000,红河哈尼族彝族自治州,53
532600000000,文山壮族苗族自治州,53
532800000000,西双版纳傣族自治州,53
532900000000,大理白族自治州,53
533100000000,德宏傣族景颇族自治州,53
533300000000,怒江傈僳族自治州,53
533400000000,迪庆藏族自治州,53
540100000000,拉萨市,54
540200000000,日喀则市,54
540300000000,昌都市,54
540400000000,林芝市,54
540500000000,山南市,54
540600000000,那曲市,54
542500000000,阿里地区,54
610100000000,西安市,61
610200000000,铜川市,61
610300000000,宝鸡市,61
610400000000,咸阳市,61
610500000000,渭南市,61
610600000000,延安市,61
610700000000,汉中市,61
610800000000,榆林市,61
610900000000,安康市,61
611000000000,商洛市,61
620100000000,兰州市,62
620200000000,嘉峪关市,62
620300000000,金昌市,62
620400000000,白银市,62
620500000000,天水市,62
620600000000,武威市,62
620700000000,张掖市,62
620800000000,平凉市,62
620900000000,酒泉市,62
621000000000,庆阳市,62
621100000000,定西市,62
621200000000,陇南市,62
622900000000,临夏回族自治州,62
623000000000,甘南藏族自治州,62
630100000000,西宁市,63
630200000000,海东市,63
632200000000,海北藏族自治州,63
632300000000,黄南藏族自治州,63
632500000000,海南藏族自治州,63
632600000000,果洛藏族自治州,63
632700000000,玉树藏族自治州,63
632800000000,海西蒙古族藏族自治州,63
640100000000,银川市,64
640200000000,石嘴山市,64
640300000000,吴忠市,64
640400000000,固原市,64
640500000000,中卫市,64
650100000000,乌鲁木齐市,65
650200000000,克拉玛依市,65
650400000000,吐鲁番市,65
650500000000,哈密市,65
652300000000,昌吉回族自治州,65
652700000000,博尔塔拉蒙古自治州,65
652800000000,巴音郭楞蒙古自治州,65
652900000000,阿克苏地区,65
653000000000,克孜勒苏柯尔克孜自治州,65
653100000000,喀什地区,65
653200000000,和田地区,65
654000000000,伊犁哈萨克自治州,65
654200000000,塔城地区,65
654300000000,阿勒泰地区,65
659000000000,自治区直辖县级行政区划,65
500200000000,县,50
